"","x"
"1","Sarothrura rufa"
"2","Thryssa vitrirostris"
"3","Dipturus linteus"
"4","Glyptothorax deqinensis"
"5","Mustelus mustelus"
"6","Mustelus asterias"
"7","Piprites chloris"
"8","Anchoa cayorum"
"9","Anchoa chamensis"
"10","Anchoa colonensis"
"11","Anchoa cubana"
"12","Anchoa filifera"
"13","Anchoa lamprotaenia"
"14","Anchoa mundeoloides"
"15","Anchoa panamensis"
"16","Anchoa parva"
"17","Anchoa scofieldi"
"18","Anchoa walkeri"
"19","Anchovia macrolepidota"
"20","Anchovia surinamensis"
"21","Anchoviella carrikeri"
"22","Anchoviella cf. guianensis DDB-2012"
"23","Anchoviella elongata"
"24","Anchoviella guianensis"
"25","Anchoviella sp. 1 DDB-2012"
"26","Encrasicholina devisi"
"27","Setipinna cf. tenuifilis DDB-2012"
"28","Stolephorus sp. 1 DDB-2012"
"29","Thryssa cf. dussumieri DDB-2012"
"30","Thryssa mystax"
"31","Thryssa dussumieri"
"32","Formosania chenyiyui"
"33","Gymnocanthus pistilliger"
"34","Carangoides bajad"
"35","Anchoviella sp. CBM-ZF-12586"
"36","Leptagonus decagonus"
"37","Acrossocheilus wenchowensis"
"38","Eumicrotremus asperrimus"
"39","Gymnammodytes semisquamatus"
"40","Lepomis macrochirus"
"41","Auxis thazard"
"42","Scomber japonicus"
"43","Anchoa sp. DDB4271"
"44","Pseudoblennius percoides"
"45","Alcichthys elongatus"
"46","Cottus dzungaricus"
"47","Gobio acutipinnatus"
"48","Lepidotrigla hime"
"49","Minous quincarinatus"
"50","Squalidus chankaensis"
"51","Phycis blennoides"
"52","Coryphaenoides rupestris"
"53","Artediellus neyelovi"
"54","Icelus sekii"
"55","Porocottus coronatus"
"56","Pseudoblennius cottoides"
"57","Porocottus allisi"
"58","Icelus mororanis"
"59","Occella dodecaedron"
"60","Radulinopsis taranetzi"
"61","Argyrocottus zanderi"
"62","Bero elegans"
"63","Ricuzenius pinetorum"
"64","Radulinopsis derjavini"
"65","Triplophysa yarkandensis"
"66","Acanthopagrus schlegelii x Pagrus major"
"67","Gila elegans"
"68","Saurogobio gracilicaudatus"
"69","Ascelichthys rhodorus"
"70","Saurogobio lissilabris"
"71","Saurogobio xiangjiangensis"
"72","Alcichthys alcicornis"
"73","Furcina ishikawae"
"74","Pseudoblennius marmoratus"
"75","Pseudoblennius zonostigma"
"76","Psychrolutes sp. KT-2016"
"77","Pseudoblennius argenteus"
"78","Pseudoblennius sp. Kirin-anahaze"
"79","Vellitor centropomus"
"80","Vellitor minutus"
"81","Dipturus oxyrinchus"
"82","Engraulis encrasicolus"
"83","Gadiculus argenteus"
"84","Stolephorus insularis"
"85","Somniosus microcephalus"
"86","Parabotia kiangsiensis"
"87","Hexagrammos agrammus"
"88","Hexagrammos lagocephalus"
"89","Hexagrammos stelleri"
"90","Encrasicholina pseudoheteroloba"
"91","Vanmanenia lineata"
"92","Pseudogobio vaillanti"
"93","Saurogobio gymnocheilus"
"94","Ceuthmochares aereus"
"95","Nothocercus nigrocapillus"
"96","Comephorus baikalensis"
"97","Carcharhinus falciformis"
"98","Spinachia spinachia"
"99","Pseudosphromenus cupanus"
"100","Cottus aleuticus"
"101","Istiophorus albicans"
"102","Lycodes vahlii"
"103","Engraulis ringens"
"104","Phractocephalus hemioliopterus"
"105","Raja brachyura"
"106","Leucoraja fullonica"
"107","Anchoa mitchilli"
"108","Ophiodon elongatus"
"109","Heros severus"
"110","Hemilepidotus gilberti"
"111","Myoxocephalus polyacanthocephalus"
"112","Engraulis mordax"
"113","Myoxocephalus stelleri"
"114","Cyprinus carpio haematopterus x Megalobrama amblycephala"
"115","Dario dario"
"116","Engraulis anchoita"
"117","Sinorhodeus microlepis"
"118","Ammocrypta beanii"
"119","Podothecus sachi"
"120","Aspidophoroides monopterygius"
"121","Hemitripterus villosus"
"122","Gymnocanthus detrisus"
"123","Gymnocanthus herzensteini"
"124","Cyprinus carpio x Megalobrama amblycephala"
"125","Pareuchiloglanis myzostoma"
"126","Nothocercus julius"
"127","Nothoprocta pentlandii"
"128","Carcharhinus amblyrhynchos"
"129","Acanthocepola krusensternii"
"130","Chirolophis ascanii"
"131","Nematobrycon palmeri"
"132","Pseudecheneis immaculata"
"133","Abbottina binhi"
"134","Acanthogobius stigmothonus"
"135","Artedius fenestralis"
"136","Hemilepidotus jordani"
"137","Jordania zonope"
"138","Microcottus sellaris"
"139","Triglops scepticus"
"140","Dasycottus setiger"
"141","Leptobotia punctata"
"142","Megalobrama amblycephala x Elopichthys bambusa"
"143","Acipenser stellatus"
"144","Squalidus mantschuricus"
"145","Squalidus longifilis"
"146","Ancistrus temminckii"
