"","x"
"1","Threskiornis aethiopicus"
"2","Xenopus muelleri"
"3","Beryx decadactylus"
"4","Mesembrinibis cayennensis"
"5","Penelope pileata"
"6","Bucco capensis"
"7","Leporinus tigrinus"
"8","Plectropomus leopardus"
"9","Ophichthus brevicaudatus"
"10","Sineleotris chalmersi"
"11","Rhynchobatus cooki"
"12","Pangasianodon hypophthalmus"
"13","Boops boops"
"14","Lutjanus cyanopterus"
"15","Lutjanus lutjanus"
"16","Petroscirtes variabilis"
"17","Notropis lutipinnis"
"18","Corydoras trilineatus"
"19","Petroscirtes breviceps"
"20","Cirrhinus mrigala"
"21","Misgurnus anguillicaudatus"
"22","Acheilognathus chankaensis"
"23","Clupea harengus"
"24","Danio rerio"
"25","Salmo salar"
"26","Oreochromis niloticus"
"27","Sparus aurata"
"28","Xenopus tropicalis"
"29","Cephalopholis hemistiktos"
