"","x"
"1","Mus musculus"
"2","Mus macedonicus"
"3","Mus spicilegus"
"4","Cavia porcellus"
"5","Anguis fragilis"
"6","Physalaemus centralis"
"7","Capricornis milneedwardsii"
"8","Mesembrinibis cayennensis"
"9","Penelope pileata"
"10","Teleogryllus infernalis"
"11","Geopelia cuneata"
"12","Sicista concolor"
"13","Pseudogastromyzon changtingensis"
"14","Naemorhedus cranbrooki"
"15","Darevskia derjugini"
"16","Darevskia praticola"
"17","Gerbillinae sp. IN-2012"
"18","Rodentia sp. IN-2012 (III-2)"
"19","Lethe marginalis"
"20","Rhipicephalus maculatus"
"21","Anourosorex squamipes"
"22","Proechimys guyannensis"
"23","Proasellus hercegovinensis"
"24","Zenarchopterus dispar"
"25","Alicella gigantea"
"26","Rhodnius prolixus"
"27","Pungitius pungitius"
"28","Kallitaxila sinica"
"29","Anopheles algeriensis"
"30","Cyphocharax gouldingi"
"31","Selatosomus glaucus"
"32","Hylomyscus endorobae"
"33","Hystrix brachyura"
"34","Gobiocypris rarus"
"35","Columba hodgsonii"
"36","Phaleria cadaverina"
"37","Pungitius laevis"
"38","Pungitius tymensis"
"39","Synalpheus microneptunus"
"40","Paramisgurnus dabryanus"
"41","Plethodon petraeus"
"42","Misgurnus anguillicaudatus x Paramisgurnus dabryanus"
"43","Nipponoelater babai"
"44","Triatoma rubida"
"45","Phymateus viridipes"
"46","Erotelis smaragdus"
"47","Triplophysa yarkandensis"
"48","Aldabrachelys gigantea"
"49","Gila elegans"
"50","Cuora trifasciata"
"51","Triplophysa hsutschouensis"
"52","Triplophysa yaopeizhii"
"53","Mongoloniscus sinensis"
"54","Squalidus multimaculatus"
"55","Aselliscus stoliczkanus"
"56","Dorylomorpha xanthopus"
"57","Columba jouyi"
"58","Somniosus microcephalus"
"59","Ochotona muliensis"
"60","Amitermes sp. 5 TB-2017"
"61","Macrotermes sp. B TB-2017"
"62","Noditermes cristifrons"
"63","Odontotermes sp. 6 TB-2017"
"64","Odontotermes sp. B TB-2017"
"65","Odontotermes sp. K TB-2017"
"66","Spinitermes sp. A TB-2017"
"67","Liparis punctulatus"
"68","Odontotermes minutus"
"69","Stygobromus pizzinii"
"70","Proechimys goeldii"
"71","Bolivaritettix sikkinensis"
"72","Eremias multiocellata"
"73","Hemigrammus bleheri"
"74","Thoropa megatympanum"
"75","Hylomyscus parvus"
"76","Tor putitora"
"77","Lullula arborea"
"78","Aythya fuligula"
"79","Pseudoniphargus unisexualis"
"80","Synagrops japonicus"
"81","Hypotermes makhamensis"
"82","Epigonichthys maldivensis"
"83","Tampichthys ipni"
"84","Lovenula raynerae"
"85","Cyprinus carpio haematopterus x Megalobrama amblycephala"
"86","Podagricomela nigricollis"
"87","Platisus zelandicus"
"88","Turnix velox"
"89","Cnemoplites edulis"
"90","Howea angulata"
"91","Membracioides sp. UCR ENT 00026602"
"92","Pomacentrus vatosoa"
"93","Eothenomys eleusis"
"94","Arvicanthis rufinus"
"95","Grandidierella rubroantennata"
"96","Gymnodiptychus pachycheilus"
"97","Leptobrachium boringii"
"98","Phymatostetha semele"
"99","Phymatostetha sp. D9"
"100","Eptatretus sp. Nan-Hai"
"101","Yunnanilus pulcherrimus"
"102","Episoriculus macrurus"
"103","Lates japonicus"
"104","Crithagra tristriata"
"105","Terebellides sp. LA1"
