Order,Family
Acipenseriformes,
,Acipenseridae
Amiiformes,
,Amiidae
Anguilliformes,
,Anguillidae
Atheriniformes,
,Atherinopsidae
Clueiformes,
,Clupeidae
Cypriniforms,
,Cyprinidae
,Catostomidae
Cyprinodontiformes,
,Funulidae
Esociformes,
,Esocidae
,Umbridae
Gadiformes,
,Lotidae
Gasterosteiformes,
,Gasterosteidae
Gobiiformes,
,Gobiidae
Hiodontiformes,
,Hiodontidae
Lepisosteiformes,
,Lepisosteidae
Osmeriformes,
,Osmeridae
Perciformes,
,Centrarchidae
,Percidae
,Aphredoderidae
,Sciaenidae
,Moronidae
,Percopsidae
Petromyzontiformes,
,Petromyzontidae
Salmoniformes,
,Salmonidae
Scorpaeniformes,
,Cottidae
Siluriformes,
,Ictaluridae
